,id,lat,lon,rsrq,group,order
12,13,34.94102313,128.4237432,-56,4,-56
13,14,34.93651918,128.4237432,-56,4,-112
14,15,34.93651918,128.429507,-56,4,-168
15,16,34.94102313,128.429507,-56,4,-224
504,505,34.79689656,128.3776327,-85,127,-85
505,506,34.7923926,128.3776327,-85,127,-170
506,507,34.7923926,128.3833965,-85,127,-255
507,508,34.79689656,128.3833965,-85,127,-340
536,537,34.7923926,128.3776327,-80,135,-80
537,538,34.78788865,128.3776327,-80,135,-160
538,539,34.78788865,128.3833965,-80,135,-240
539,540,34.7923926,128.3833965,-80,135,-320
548,549,34.78788865,128.3718689,-76,138,-76
549,550,34.78338469,128.3718689,-76,138,-152
550,551,34.78338469,128.3776327,-76,138,-228
551,552,34.78788865,128.3776327,-76,138,-304
560,561,34.78338469,128.3718689,-83,141,-83
561,562,34.77888074,128.3718689,-83,141,-166
562,563,34.77888074,128.3776327,-83,141,-249
563,564,34.78338469,128.3776327,-83,141,-332
576,577,34.77888074,128.3718689,-83,145,-83
577,578,34.77437678,128.3718689,-83,145,-166
578,579,34.77437678,128.3776327,-83,145,-249
579,580,34.77888074,128.3776327,-83,145,-332
584,585,34.77437678,128.3718689,-84,147,-84
585,586,34.76987282,128.3718689,-84,147,-168
586,587,34.76987282,128.3776327,-84,147,-252
587,588,34.77437678,128.3776327,-84,147,-336
600,601,34.76987282,128.3718689,-85,151,-85
601,602,34.76536887,128.3718689,-85,151,-170
602,603,34.76536887,128.3776327,-85,151,-255
603,604,34.76987282,128.3776327,-85,151,-340
612,613,34.76536887,128.3718689,-82,154,-82
613,614,34.76086491,128.3718689,-82,154,-164
614,615,34.76086491,128.3776327,-82,154,-246
615,616,34.76536887,128.3776327,-82,154,-328
628,629,34.76086491,128.3718689,-84,158,-84
629,630,34.75636096,128.3718689,-84,158,-168
630,631,34.75636096,128.3776327,-84,158,-252
631,632,34.76086491,128.3776327,-84,158,-336
648,649,34.75636096,128.3718689,-84,163,-84
649,650,34.751857,128.3718689,-84,163,-168
650,651,34.751857,128.3776327,-84,163,-252
651,652,34.75636096,128.3776327,-84,163,-336
660,661,34.751857,128.3718689,-83,166,-83
663,664,34.751857,128.3776327,-83,166,-332
1092,1093,34.81941634,128.3833965,-61,274,-61
1093,1094,34.81491238,128.3833965,-61,274,-122
1094,1095,34.81491238,128.3891603,-61,274,-183
1095,1096,34.81941634,128.3891603,-61,274,-244
1208,1209,34.82392029,128.3833965,-59,303,-59
1209,1210,34.81941634,128.3833965,-59,303,-118
1210,1211,34.81941634,128.3891603,-59,303,-177
1211,1212,34.82392029,128.3891603,-59,303,-236
1220,1221,34.82842425,128.3776327,-87,306,-87
1221,1222,34.82392029,128.3776327,-87,306,-174
1222,1223,34.82392029,128.3833965,-87,306,-261
1223,1224,34.82842425,128.3833965,-87,306,-348
1236,1237,34.8329282,128.3776327,-90,310,-90
1237,1238,34.82842425,128.3776327,-90,310,-180
1238,1239,34.82842425,128.3833965,-90,310,-270
1239,1240,34.8329282,128.3833965,-90,310,-360
1244,1245,34.83743216,128.3776327,-88,312,-88
1245,1246,34.8329282,128.3776327,-88,312,-176
1246,1247,34.8329282,128.3833965,-88,312,-264
