,id,lat,lon,rsrq,group,order
12,13,34.98154509,128.4179787,-56,4,-56
13,14,34.93650538,128.4179787,-56,4,-112
14,15,34.93650538,128.4756167,-56,4,-168
15,16,34.98154509,128.4756167,-56,4,-224
84,85,34.80138625,128.3603406,-85,22,-85
85,86,34.75634654,128.3603406,-85,22,-170
86,87,34.75634654,128.4179787,-85,22,-255
87,88,34.80138625,128.4179787,-85,22,-340
108,109,34.75634654,128.3603406,-88,28,-88
111,112,34.75634654,128.4179787,-88,28,-352
160,161,34.84642596,128.3603406,-69,41,-69
161,162,34.80138625,128.3603406,-69,41,-138
162,163,34.80138625,128.4179787,-69,41,-207
163,164,34.84642596,128.4179787,-69,41,-276
182,183,34.80138625,128.3603406,-80,46,-240
183,184,34.84642596,128.3603406,-80,46,-320
194,195,34.75634654,128.3603406,-86,49,-258
195,196,34.80138625,128.3603406,-86,49,-344
215,216,34.75634654,128.3603406,-88,54,-352
244,245,34.89146567,128.4179787,-76,62,-76
245,246,34.84642596,128.4179787,-76,62,-152
246,247,34.84642596,128.4756167,-76,62,-228
247,248,34.89146567,128.4756167,-76,62,-304
260,261,34.93650538,128.4179787,-87,66,-87
261,262,34.89146567,128.4179787,-87,66,-174
262,263,34.89146567,128.4756167,-87,66,-261
263,264,34.93650538,128.4756167,-87,66,-348
268,269,35.11666423,128.706169,-88,68,-88
269,270,35.07162452,128.706169,-88,68,-176
280,281,34.98154509,128.4756167,-85,71,-85
281,282,34.93650538,128.4756167,-85,71,-170
282,283,34.93650538,128.5332548,-85,71,-255
283,284,34.98154509,128.5332548,-85,71,-340
284,285,35.02658481,128.4756167,-90,72,-90
285,286,34.98154509,128.4756167,-90,72,-180
286,287,34.98154509,128.5332548,-90,72,-270
287,288,35.02658481,128.5332548,-90,72,-360
300,301,35.07162452,128.4756167,-99,76,-99
301,302,35.02658481,128.4756167,-99,76,-198
302,303,35.02658481,128.5332548,-99,76,-297
303,304,35.07162452,128.5332548,-99,76,-396
304,305,35.11666423,128.4756167,-93,77,-93
305,306,35.07162452,128.4756167,-93,77,-186
306,307,35.07162452,128.5332548,-93,77,-279
307,308,35.11666423,128.5332548,-93,77,-372
320,321,35.11666423,128.6485309,-76,81,-76
321,322,35.07162452,128.6485309,-76,81,-152
322,323,35.07162452,128.706169,-76,81,-228
323,324,35.11666423,128.706169,-76,81,-304
448,449,35.07162452,128.6485309,-96,113,-96
449,450,35.02658481,128.6485309,-96,113,-192
450,451,35.02658481,128.706169,-96,113,-288
451,452,35.07162452,128.706169,-96,113,-384
508,509,35.11666423,128.5332548,-61,128,-61
509,510,35.07162452,128.5332548,-61,128,-122
510,511,35.07162452,128.5908929,-61,128,-183
511,512,35.11666423,128.5908929,-61,128,-244
584,585,35.07162452,128.706169,-82,147,-82
585,586,35.02658481,128.706169,-82,147,-164
608,609,35.02658481,128.4179787,-97,153,-97
609,610,34.98154509,128.4179787,-97,153,-194
610,611,34.98154509,128.4756167,-97,153,-291
611,612,35.02658481,128.4756167,-97,153,-388
628,629,35.02658481,128.5908929,-80,158,-80
629,630,34.98154509,128.5908929,-80,158,-160
630,631,34.98154509,128.6485309,-80,158,-240
631,632,35.02658481,128.6485309,-80,158,-320
654,655,34.84642596,128.3603406,-84,164,-252
655,656,34.89146567,128.3603406,-84,164,-336
668,669,34.89146567,128.3603406,-86,168,-86
669,670,34.84642596,128.3603406,-86,168,-172
670,671,34.84642596,128.4179787,-86,168,-258
671,672,34.89146567,128.4179787,-86,168,-344
712,713,34.93650538,128.4756167,-86,179,-86
713,714,34.89146567,128.4756167,-86,179,-172
714,715,34.89146567,128.5332548,-86,179,-258
715,716,34.93650538,128.5332548,-86,179,-344
724,725,34.93650538,128.5332548,-88,182,-88
725,726,34.89146567,128.5332548,-88,182,-176
726,727,34.89146567,128.5908929,-88,182,-264
727,728,34.93650538,128.5908929,-88,182,-352
728,729,34.98154509,128.5332548,-76,183,-76
729,730,34.93650538,128.5332548,-76,183,-152
730,731,34.93650538,128.5908929,-76,183,-228
731,732,34.98154509,128.5908929,-76,183,-304
736,737,35.02658481,128.5332548,-85,185,-85
737,738,34.98154509,128.5332548,-85,185,-170
738,739,34.98154509,128.5908929,-85,185,-255
739,740,35.02658481,128.5908929,-85,185,-340
740,741,35.07162452,128.5908929,-82,186,-82
741,742,35.02658481,128.5908929,-82,186,-164
742,743,35.02658481,128.6485309,-82,186,-246
743,744,35.07162452,128.6485309,-82,186,-328
760,761,35.11666423,128.5908929,-68,191,-68
761,762,35.07162452,128.5908929,-68,191,-136
762,763,35.07162452,128.6485309,-68,191,-204
763,764,35.11666423,128.6485309,-68,191,-272
1008,1009,35.02658481,128.706169,-78,253,-78
1009,1010,34.98154509,128.706169,-78,253,-156
1212,1213,35.02658481,128.6485309,-89,304,-89
1213,1214,34.98154509,128.6485309,-89,304,-178
1214,1215,34.98154509,128.706169,-89,304,-267
1215,1216,35.02658481,128.706169,-89,304,-356
1268,1269,34.98154509,128.6485309,-91,318,-91
1269,1270,34.93650538,128.6485309,-91,318,-182
1270,1271,34.93650538,128.706169,-91,318,-273
1271,1272,34.98154509,128.706169,-91,318,-364
1272,1273,34.98154509,128.706169,-92,319,-92
1273,1274,34.93650538,128.706169,-92,319,-184
1528,1529,34.84642596,128.4756167,-87,383,-87
1529,1530,34.80138625,128.4756167,-87,383,-174
1530,1531,34.80138625,128.5332548,-87,383,-261
1531,1532,34.84642596,128.5332548,-87,383,-348
1536,1537,34.80138625,128.4756167,-72,385,-72
1537,1538,34.75634654,128.4756167,-72,385,-144
1538,1539,34.75634654,128.5332548,-72,385,-216
1539,1540,34.80138625,128.5332548,-72,385,-288
1548,1549,34.80138625,128.5332548,-82,388,-82
1549,1550,34.75634654,128.5332548,-82,388,-164
1550,1551,34.75634654,128.5908929,-82,388,-246
1551,1552,34.80138625,128.5908929,-82,388,-328
1776,1777,34.75634654,128.5908929,-78,445,-78
1779,1780,34.75634654,128.6485309,-78,445,-312
1780,1781,34.75634654,128.6485309,-84,446,-84
1783,1784,34.75634654,128.706169,-84,446,-336
1808,1809,34.75634654,128.5332548,-85,453,-85
1811,1812,34.75634654,128.5908929,-85,453,-340
1832,1833,34.84642596,128.4179787,-70,459,-70
1833,1834,34.80138625,128.4179787,-70,459,-140
1834,1835,34.80138625,128.4756167,-70,459,-210
1835,1836,34.84642596,128.4756167,-70,459,-280
1840,1841,34.89146567,128.4756167,-84,461,-84
1841,1842,34.84642596,128.4756167,-84,461,-168
1842,1843,34.84642596,128.5332548,-84,461,-252
1843,1844,34.89146567,128.5332548,-84,461,-336
1932,1933,35.07162452,128.4179787,-69,484,-69
1933,1934,35.02658481,128.4179787,-69,484,-138
1934,1935,35.02658481,128.4756167,-69,484,-207
1935,1936,35.07162452,128.4756167,-69,484,-276
2077,2078,35.11666423,128.6485309,-80,520,-160
2078,2079,35.11666423,128.706169,-80,520,-240
2524,2525,34.75634654,128.706169,-78,632,-78
2688,2689,34.80138625,128.4179787,-81,673,-81
2689,2690,34.75634654,128.4179787,-81,673,-162
2690,2691,34.75634654,128.4756167,-81,673,-243
2691,2692,34.80138625,128.4756167,-81,673,-324
2692,2693,34.75634654,128.4179787,-79,674,-79
2695,2696,34.75634654,128.4756167,-79,674,-316
2728,2729,34.75634654,128.4756167,-97,683,-97
2731,2732,34.75634654,128.5332548,-97,683,-388
4680,4681,35.11666423,128.4179787,-75,1171,-75
4681,4682,35.07162452,128.4179787,-75,1171,-150
4682,4683,35.07162452,128.4756167,-75,1171,-225
4683,4684,35.11666423,128.4756167,-75,1171,-300
5596,5597,34.80138625,128.706169,-91,1400,-91
5597,5598,34.75634654,128.706169,-91,1400,-182
5644,5645,34.98154509,128.5908929,-65,1412,-65
5645,5646,34.93650538,128.5908929,-65,1412,-130
5646,5647,34.93650538,128.6485309,-65,1412,-195
5647,5648,34.98154509,128.6485309,-65,1412,-260
6540,6541,34.84642596,128.706169,-75,1636,-75
6541,6542,34.80138625,128.706169,-75,1636,-150
6608,6609,34.89146567,128.706169,-74,1653,-74
6609,6610,34.84642596,128.706169,-74,1653,-148
7244,7245,34.84642596,128.5332548,-96,1812,-96
7245,7246,34.80138625,128.5332548,-96,1812,-192
7246,7247,34.80138625,128.5908929,-96,1812,-288
7247,7248,34.84642596,128.5908929,-96,1812,-384
